v8-version,7,0,276,38,-node.18,0
shared-library,/usr/bin/node,0x400000,0x24c1000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f423b12f000,0x7f423b316000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f423b520000,0x7f423b53a000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f423b73f000,0x7f423b756000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f423b957000,0x7f423baf4000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f423bcf5000,0x7f423be6e000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7f423c07e000,0x7f423c085000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f423c286000,0x7f423c289000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f423c48a000,0x7f423c4b1000,0
shared-library,[vdso],0x7ffe8bdeb000,0x7ffe8bded000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f423b23f187,512,0,0x0,6
tick,0x124cbce,1573,0,0x0,6
code-creation,Builtin,3,1719,0x3e63c3b06f20,1380,RecordWrite
code-creation,Builtin,3,1733,0x3e63c3b074e0,44,AdaptorWithExitFrame
code-creation,Builtin,3,1738,0x3e63c3b07560,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1743,0x3e63c3b075e0,246,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1749,0x3e63c3b07720,181,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1754,0x3e63c3b07820,238,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1760,0x3e63c3b07960,263,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1765,0x3e63c3b07ac0,133,CallBoundFunction
code-creation,Builtin,3,1770,0x3e63c3b07ba0,108,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1775,0x3e63c3b07c60,108,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1780,0x3e63c3b07d20,108,Call_ReceiverIsAny
code-creation,Builtin,3,1785,0x3e63c3b07de0,984,CallProxy
code-creation,Builtin,3,1789,0x3e63c3b08200,81,CallVarargs
