# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
    86.98%  node             perf-6806.map                            [.] LazyCompile:*fib /home/alecsandru/work/github/nodejs-perf-tutorial/02-jit/script.js:3
     3.64%  swapper          [kernel.kallsyms]                        [k] intel_idle
     0.25%  pgrep            [kernel.kallsyms]                        [k] number
     0.22%  pgrep            [kernel.kallsyms]                        [k] format_decode
     0.14%  pgrep            [kernel.kallsyms]                        [k] vsnprintf
     0.12%  dockerd          dockerd-ce                               [.] runtime.scanobject
     0.12%  pgrep            libc-2.27.so                             [.] __GI_____strtoll_l_internal
     0.11%  pgrep            libc-2.27.so                             [.] __strchr_avx2
     0.09%  pgrep            [kernel.kallsyms]                        [k] syscall_return_via_sysret
     0.08%  pgrep            [kernel.kallsyms]                        [k] memcpy_erms
     0.06%  pgrep            [kernel.kallsyms]                        [k] next_tgid
     0.06%  pgrep            [kernel.kallsyms]                        [k] seq_put_decimal_ull
     0.06%  pgrep            [kernel.kallsyms]                        [k] proc_pid_status
     0.05%  pgrep            [kernel.kallsyms]                        [k] seq_putc
     0.05%  pgrep            [kernel.kallsyms]                        [k] _raw_spin_lock
     0.04%  node             node                                     [.] _ZN2v88internal7Scanner4ScanEv
     0.04%  pgrep            [kernel.kallsyms]                        [k] num_to_str
     0.04%  pgrep            libc-2.27.so                             [.] __strncpy_ssse3
     0.04%  pgrep            [kernel.kallsyms]                        [k] radix_tree_next_chunk
     0.04%  chrome           chrome                                   [.] _fini
     0.04%  pgrep            [kernel.kallsyms]                        [k] strlen
     0.04%  pgrep            [kernel.kallsyms]                        [k] render_sigset_t
     0.04%  pgrep            [kernel.kallsyms]                        [k] bitmap_string.isra.8
     0.04%  pgrep            [kernel.kallsyms]                        [k] find_vma
     0.04%  pgrep            [kernel.kallsyms]                        [k] __d_lookup_rcu
     0.03%  node             node                                     [.] _ZN2v88internal6String17CalculateLineEndsEPNS0_7IsolateENS0_6HandleIS1_EEb
     0.03%  pgrep            [kernel.kallsyms]                        [k] get_pid_task
     0.03%  pgrep            [kernel.kallsyms]                        [k] put_dec_trunc8
     0.03%  pgrep            [kernel.kallsyms]                        [k] __d_lookup
     0.03%  pgrep            [kernel.kallsyms]                        [k] link_path_walk
     0.03%  swapper          [kernel.kallsyms]                        [k] poll_idle
     0.03%  pgrep            ld-2.27.so                               [.] strcmp
     0.03%  pgrep            [kernel.kallsyms]                        [k] pid_nr_ns
     0.03%  dockerd          dockerd-ce                               [.] runtime.heapBitsForObject
     0.03%  pgrep            [kernel.kallsyms]                        [k] lookup_fast
     0.03%  pgrep            [kernel.kallsyms]                        [k] seq_printf
     0.03%  dockerd          dockerd-ce                               [.] runtime.greyobject
     0.03%  pgrep            ld-2.27.so                               [.] do_lookup_x
     0.03%  pgrep            libc-2.27.so                             [.] _int_malloc
     0.02%  pgrep            libc-2.27.so                             [.] vfprintf
     0.02%  pgrep            [kernel.kallsyms]                        [k] native_queued_spin_lock_slowpath
     0.02%  swapper          [kernel.kallsyms]                        [k] menu_select
     0.02%  pgrep            [kernel.kallsyms]                        [k] task_dump_owner
     0.02%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006442
     0.02%  pgrep            [kernel.kallsyms]                        [k] do_syscall_64
     0.02%  pgrep            [kernel.kallsyms]                        [k] __check_object_size
     0.02%  pgrep            [kernel.kallsyms]                        [k] seq_vprintf
     0.02%  pgrep            [kernel.kallsyms]                        [k] __indirect_thunk_start
     0.02%  pgrep            [kernel.kallsyms]                        [k] dput.part.23
     0.02%  swapper          [kernel.kallsyms]                        [k] timerqueue_add
     0.02%  pgrep            [kernel.kallsyms]                        [k] unmap_page_range
     0.02%  swapper          [kernel.kallsyms]                        [k] do_idle
     0.02%  pgrep            [kernel.kallsyms]                        [k] kmem_cache_alloc
     0.02%  pgrep            [kernel.kallsyms]                        [k] filemap_map_pages
     0.02%  pgrep            [kernel.kallsyms]                        [k] entry_SYSCALL_64_after_hwframe
     0.02%  pgrep            [kernel.kallsyms]                        [k] __access_remote_vm
     0.02%  pgrep            libc-2.27.so                             [.] re_search_internal
     0.02%  pgrep            libprocps.so.6.0.0                       [.] 0x0000000000006423
     0.02%  pgrep            libc-2.27.so                             [.] _IO_default_xsputn
     0.02%  pgrep            [kernel.kallsyms]                        [k] put_dec
     0.02%  pgrep            [kernel.kallsyms]                        [k] apparmor_file_alloc_security
     0.02%  pgrep            [kernel.kallsyms]                        [k] skip_atoi
