# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:ppp'
# Event count (approx.): 23039810842
#
# Overhead  Command          Shared Object                           Symbol                                                                                                                                                                                                          
# ........  ...............  ......................................  ................................................................................................................................................................................................................
#
     7.08%  node             perf-2458.map                           [.] 0x00002ab930be58ea
     5.34%  node             perf-2458.map                           [.] 0x00002ab930be58df
     4.70%  swapper          [kernel.kallsyms]                       [k] intel_idle
     4.65%  node             perf-2458.map                           [.] 0x00002ab930be57e4
     3.29%  node             perf-2458.map                           [.] 0x00002ab930be57f8
     3.00%  node             perf-2458.map                           [.] 0x00002ab930be58b8
     3.00%  node             perf-2458.map                           [.] 0x00002ab930be5835
     2.75%  node             perf-2458.map                           [.] 0x00002ab930be58f0
     2.68%  node             perf-2458.map                           [.] 0x00002ab930be58b2
     2.63%  node             perf-2458.map                           [.] 0x00002ab930be58a4
     2.29%  node             perf-2458.map                           [.] 0x00002ab930be5880
     2.26%  node             perf-2458.map                           [.] 0x00002ab930be5815
     2.10%  node             perf-2458.map                           [.] 0x00002ab930be58f4
     1.99%  node             perf-2458.map                           [.] 0x00002ab930be57e8
     1.91%  node             perf-2458.map                           [.] 0x00002ab930be5845
     1.81%  node             perf-2458.map                           [.] 0x00002ab930be5839
     1.78%  node             perf-2458.map                           [.] 0x00002ab930be57f2
     1.63%  node             perf-2458.map                           [.] 0x00002ab930be58d0
     1.62%  node             perf-2458.map                           [.] 0x00002ab930be57e0
     1.42%  node             perf-2458.map                           [.] 0x00002ab930be57f4
     1.41%  node             perf-2458.map                           [.] 0x00002ab930be57ef
     1.32%  node             perf-2458.map                           [.] 0x00002ab930be5897
     1.30%  node             perf-2458.map                           [.] 0x00002ab930be5864
     1.27%  node             perf-2458.map                           [.] 0x00002ab930be57fc
     1.23%  node             perf-2458.map                           [.] 0x00002ab930be5872
     1.22%  node             perf-2458.map                           [.] 0x00002ab930be583c
     1.22%  node             perf-2458.map                           [.] 0x00002ab930be583f
     1.20%  node             perf-2458.map                           [.] 0x00002ab930be585b
     1.18%  node             perf-2458.map                           [.] 0x00002ab930be580d
     1.03%  node             perf-2458.map                           [.] 0x00002ab930be5819
     1.02%  node             perf-2458.map                           [.] 0x00002ab930be5876
     1.01%  node             perf-2458.map                           [.] 0x00002ab930be587a
     0.98%  node             perf-2458.map                           [.] 0x00002ab930be5829
     0.96%  node             perf-2458.map                           [.] 0x00002ab930be585c
     0.94%  node             perf-2458.map                           [.] 0x00002ab930be586f
     0.94%  node             perf-2458.map                           [.] 0x00002ab930be57f3
     0.90%  node             perf-2458.map                           [.] 0x00002ab930be587c
     0.86%  node             perf-2458.map                           [.] 0x00002ab930be5867
     0.84%  node             perf-2458.map                           [.] 0x00002ab930be5861
     0.80%  node             perf-2458.map                           [.] 0x00002ab930be5857
     0.76%  node             perf-2458.map                           [.] 0x00002ab930be58a3
     0.73%  node             perf-2458.map                           [.] 0x00002ab930be581f
     0.68%  node             perf-2458.map                           [.] 0x00002ab930be57ee
     0.67%  node             perf-2458.map                           [.] 0x00002ab930be5809
     0.64%  node             perf-2458.map                           [.] 0x00002ab930be5853
     0.60%  node             perf-2458.map                           [.] 0x00002ab930be58ae
     0.43%  node             perf-2458.map                           [.] 0x00002ab930be584f
     0.39%  node             perf-2458.map                           [.] 0x00002ab930be582c
     0.34%  node             perf-2458.map                           [.] 0x00002ab930be58ed
     0.34%  node             perf-2458.map                           [.] 0x00002ab930be5832
     0.26%  node             perf-2458.map                           [.] 0x00002ab930be586c
     0.25%  pgrep            [kernel.kallsyms]                       [k] number
     0.25%  node             perf-2458.map                           [.] 0x00002ab930be58e3
     0.25%  node             perf-2458.map                           [.] 0x00002ab930be585d
     0.22%  node             perf-2458.map                           [.] 0x00002ab930be58b4
     0.22%  node             perf-2458.map                           [.] 0x00002ab930be58e6
     0.16%  pgrep            [kernel.kallsyms]                       [k] format_decode
     0.14%  node             perf-2458.map                           [.] 0x00002ab930be58c1
     0.14%  node             perf-2458.map                           [.] 0x00002ab930be58a5
     0.12%  node             perf-2458.map                           [.] 0x00002ab930be58d9
     0.12%  pgrep            [kernel.kallsyms]                       [k] vsnprintf
     0.11%  node             perf-2458.map                           [.] 0x00002ab930be5884
     0.11%  node             perf-2458.map                           [.] 0x00002ab930be589b
     0.11%  node             perf-2458.map                           [.] 0x00002ab930be58d3
     0.11%  pgrep            [kernel.kallsyms]                       [k] __d_lookup
     0.10%  node             perf-2458.map                           [.] 0x00002ab930be588d
     0.09%  pgrep            libc-2.27.so                            [.] __strncpy_ssse3
     0.09%  pgrep            [kernel.kallsyms]                       [k] render_sigset_t
     0.09%  pgrep            [kernel.kallsyms]                       [k] proc_pid_status
     0.08%  pgrep            libc-2.27.so                            [.] __GI_____strtoll_l_internal
     0.08%  pgrep            libc-2.27.so                            [.] __strchr_avx2
     0.07%  pgrep            [kernel.kallsyms]                       [k] native_queued_spin_lock_slowpath
     0.07%  gnome-shell      libc-2.27.so                            [.] __GI___strcmp_ssse3
     0.07%  pgrep            [kernel.kallsyms]                       [k] next_tgid
     0.06%  swapper          [kernel.kallsyms]                       [k] menu_select
     0.06%  pgrep            [kernel.kallsyms]                       [k] get_pid_task
     0.06%  pgrep            [kernel.kallsyms]                       [k] seq_printf
     0.06%  pgrep            [kernel.kallsyms]                       [k] strlen
     0.06%  node             perf-2458.map                           [.] 0x00002ab930be58d7
     0.06%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_hash_table_lookup
     0.05%  pgrep            [kernel.kallsyms]                       [k] seq_put_decimal_ull
     0.05%  pgrep            [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.05%  pgrep            [kernel.kallsyms]                       [k] pid_revalidate
     0.05%  pgrep            [kernel.kallsyms]                       [k] find_vma
     0.05%  pgrep            [kernel.kallsyms]                       [k] num_to_str
     0.05%  pgrep            [kernel.kallsyms]                       [k] _raw_spin_lock
     0.05%  node             perf-2458.map                           [.] 0x00002ab930be58f2
     0.05%  node             perf-2458.map                           [.] 0x00002ab930be589f
     0.04%  node             perf-2458.map                           [.] 0x00002ab930be58e9
     0.04%  pgrep            [kernel.kallsyms]                       [k] memcpy_erms
     0.04%  pgrep            [kernel.kallsyms]                       [k] seq_putc
     0.04%  chrome           chrome                                  [.] _fini
     0.04%  gnome-shell      libgobject-2.0.so.0.5600.3              [.] g_type_check_instance_is_a
     0.04%  gnome-shell      libpthread-2.27.so                      [.] __pthread_getspecific
     0.04%  pgrep            ld-2.27.so                              [.] do_lookup_x
     0.04%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_slice_free1
     0.03%  pgrep            libc-2.27.so                            [.] vfprintf
     0.03%  pgrep            [kernel.kallsyms]                       [k] bitmap_string.isra.8
     0.03%  gnome-shell      ld-2.27.so                              [.] _dl_find_dso_for_object
     0.03%  pgrep            [kernel.kallsyms]                       [k] put_dec_trunc8
     0.03%  pgrep            [kernel.kallsyms]                       [k] radix_tree_next_chunk
     0.03%  gnome-shell      libglib-2.0.so.0.5600.3                 [.] g_datalist_id_dup_data
     0.03%  swapper          [kernel.kallsyms]                       [k] native_write_msr
     0.03%  gnome-shell      libmutter-clutter-2.so                  [.] clutter_actor_get_type
