v8-version,6,2,414,75,0
shared-library,"/usr/bin/node",0x00400000,0x01f68000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7ffff6b43000,0x7ffff6d03000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7ffff6f0d000,0x7ffff6f25000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7ffff712a000,0x7ffff7140000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7ffff7340000,0x7ffff7448000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7ffff7649000,0x7ffff77bb000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7ffff79cb000,0x7ffff79d2000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7ffff7bd3000,0x7ffff7bd6000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7ffff7dd7000,0x7ffff7dfd000,0
shared-library,"[vdso]",0x7ffff7ffa000,0x7ffff7ffc000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7ffff6bc2e4e,516,0,0x0,4
tick,0x1067d4a,1623,0,0x0,4
tick,0x10677b1,2705,0,0x0,4
code-creation,Stub,3,2796,0x1ef258604060,234,"JSEntryStub"
code-creation,Builtin,5,2798,0x1ef2586041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,2800,0x1ef2586042a0,286,"CEntryStub"
code-creation,Builtin,5,2801,0x1ef258604420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,2802,0x1ef258604500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,2803,0x1ef2586046a0,351,"ToObject"
code-creation,Stub,3,2804,0x1ef258604860,2084,"RecordWriteStub"
code-creation,Stub,3,2805,0x1ef258605100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,2806,0x1ef2586052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,2807,0x1ef258605400,139,"CallBoundFunction"
code-creation,Builtin,5,2807,0x1ef258605500,548,"CallProxy"
code-creation,Stub,3,2808,0x1ef2586057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,2809,0x1ef258605ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,2810,0x1ef258606020,234,"JSEntryStub"
code-creation,Builtin,5,2811,0x1ef258606180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,2812,0x1ef258606260,77,"Construct"
